Year,Farm_level_cattle,Farm_level_eggs,Farm_level_fruit,Farm_level_milk,Farm_level_soybeans,Farm_level_vegetables,Farm_level_wheat,Finished_consumer_foods,Processed_foods_and_feeds,Unprocessed_foodstuffs_and_feedstuffs,Wholesale_beef,Wholesale_dairy,Wholesale_fats_and_oils,Wholesale_pork,Wholesale_poultry,Wholesale_wheat_flour
1974,-10.2,-3.0,6.3,19.3,-4.7,17.4,33.3,14.0,18.9,5.2,-3.1,11.6,59.4,1.1,-11.3,29.4
1975,-1.7,-0.6,9.5,4.2,-18.4,-8.7,-19.7,8.4,-2.4,1.3,11.1,6.5,-13.1,32.4,17.0,-13.5
1976,-7.1,12.1,1.2,11.6,6.0,-7.7,-13.3,-0.3,-5.1,-0.8,-11.4,8.1,-20.9,-6.2,-9.7,-9.5
1977,2.3,-9.6,11.1,0.8,18.8,3.7,-22.5,5.3,2.8,0.9,0.9,3.0,16.5,-5.6,4.3,-19.6
1978,32.4,-2.1,20.3,8.4,-5.8,7.0,24.3,9.0,6.5,12.6,28.3,8.6,8.5,15.3,12.0,19.1
1979,30.5,11.4,9.0,13.8,8.1,0.5,23.6,9.3,11.4,14.5,24.7,12.2,8.0,-6.5,-2.8,21.5
1980,-2.1,-3.1,2.1,8.5,-0.4,8.9,7.8,5.8,11.6,4.6,3.2,9.2,-6.8,-3.9,2.5,9.1
1981,-4.7,9.4,-3.7,5.9,0.0,26.9,0.2,5.8,-0.9,-0.7,-5.2,6.5,0.3,10.8,0.0,2.2
1982,0.0,-4.5,3.5,-1.7,-14.5,-11.3,-7.8,2.2,-4.4,-3.8,-0.7,1.3,-5.4,15.1,-7.6,-4.4
1983,-3.1,,6.4,-0.2,16.3,1.0,0.7,1.0,3.6,1.8,-3.6,0.7,11.0,-9.4,3.7,1.5
1984,3.7,,0.4,-1.3,2.7,11.8,-4.0,4.4,2.0,2.8,0.3,0.4,26.2,-0.4,11.2,-0.5
1985,-9.3,-18.8,1.2,-4.9,-21.1,-11.9,-9.4,-0.8,-7.9,-9.5,-6.6,-0.9,-10.4,-1.2,-4.2,-1.2
1986,-2.1,4.1,4.4,-2.9,-8.3,-1.7,-12.9,2.6,-1.1,-1.7,-2.4,-0.3,-23.1,12.1,5.8,-5.2
1987,15.1,-12.0,-0.8,1.0,2.2,6.1,-4.6,2.1,3.1,3.2,8.4,1.7,1.5,5.0,-11.4,-1.8
1988,6.5,1.1,1.3,-2.7,41.3,1.6,28.7,2.8,10.4,10.3,6.2,0.6,19.7,-9.4,7.8,13.8
1989,3.9,35.0,-0.3,10.5,-8.4,10.6,16.9,5.4,3.9,4.8,7.4,8.2,-4.4,2.8,7.9,8.4
1990,7.6,-1.7,4.3,2.0,-11.8,1.2,-20.0,4.8,-0.4,1.7,6.5,6.0,6.5,22.6,-5.6,-9.6
1991,-5.5,-5.9,10.0,-11.2,-5.7,-12.1,-9.4,-0.2,-1.9,-6.7,-3.3,-2.2,-6.2,-5.3,-3.3,-6.6
1992,-0.3,-15.0,-35.3,7.4,2.3,10.8,24.1,-0.6,-0.4,-0.4,-2.4,2.9,-2.9,-12.8,-0.8,13.1
1993,1.1,12.5,0.6,-2.1,7.7,17.6,-0.1,1.9,1.8,3.1,3.1,0.2,7.4,6.9,2.5,-0.5
1994,-9.3,-7.6,-2.1,1.7,1.1,-4.6,6.5,0.9,1.9,-1.8,-8.2,1.1,16.2,-4.1,2.7,1.4
1995,-6.0,6.4,3.7,-2.2,-3.6,11.9,13.2,1.7,0.0,-0.7,-2.6,0.3,2.0,0.1,-0.4,11.4
1996,-3.7,25.6,17.5,15.3,25.1,-6.5,15.2,3.6,11.6,14.8,-0.7,8.9,-5.6,19.1,4.8,11.2
1997,2.2,-9.0,-1.4,-9.6,2.4,-8.8,-20.8,0.7,-2.1,-7.7,2.6,-1.8,-0.1,1.8,-1.9,-13.2
1998,-5.5,-9.6,-9.0,15.8,-21.1,13.3,-18.9,-0.1,-7.3,-7.4,-3.3,7.9,8.0,-21.5,2.9,-8.0
1999,5.5,-16.9,14.5,-5.8,-22.5,-15.4,-9.5,0.6,-4.4,-5.0,6.9,0.7,-13.6,-0.6,-5.6,-4.5
2000,6.7,9.4,-11.8,-13.5,4.1,7.4,1.0,1.6,0.5,1.5,7.0,-4.0,-9.8,18.1,-1.0,-0.5
2001,4.1,-4.2,6.9,21.5,-5.8,-1.6,6.5,3.0,3.8,5.9,6.1,8.6,-2.6,6.1,3.5,5.9
2002,-7.0,2.2,-6.3,-18.8,11.6,9.5,14.5,-0.8,-0.3,-6.2,-4.9,-6.2,10.7,-9.4,-4.7,5.7
2003,23.3,37.9,-8.1,3.3,24.1,-0.6,0.6,4.1,9.0,14.1,20.2,2.3,31.0,6.1,4.8,6.4
2004,1.5,-7.3,24.7,28.0,19.5,-4.6,7.6,4.7,8.9,11.9,2.4,11.8,19.3,14.7,11.7,4.4
2005,4.2,-26.5,-2.0,-5.5,-21.1,10.2,-3.1,2.0,-2.4,-3.4,4.4,-0.9,-4.5,-0.6,-1.2,3.6
2006,-4.0,10.8,8.0,-14.8,-5.7,7.5,13.8,0.6,1.0,-2.8,-3.5,-4.5,-0.4,-3.0,-8.2,9.1
2007,7.8,61.2,11.2,48.2,42.5,8.0,47.2,6.6,14.2,23.0,2.7,19.1,17.5,4.1,12.8,22.4
2008,0.0,17.7,-0.4,-4.3,47.9,4.1,36.6,6.8,17.6,11.4,5.2,4.0,42.7,-2.0,3.9,34.4
2009,-10.4,-26.4,-10.2,-30.1,-13.7,-5.9,-36.5,-1.6,-8.6,-17.7,-7.4,-14.0,-23.3,-11.5,2.1,-23.7
2010,14.6,0.5,12.1,27.1,0.7,10.0,5.3,3.9,3.4,13.3,10.3,10.8,4.3,23.2,1.4,-0.3
2011,22.1,16.5,-4.9,23.5,24.0,9.3,37.5,6.3,11.9,23.6,15.0,12.6,29.3,12.5,-1.5,23.1
2012,8.6,1.4,1.1,-8.1,13.2,-19.8,-2.6,2.7,4.8,4.2,10.0,-1.6,-2.0,-4.1,11.2,2.0
2013,1.4,9.4,1.8,8.1,-1.9,26.4,-3.0,2.2,1.4,1.9,0.0,3.6,-6.7,3.6,3.8,0.0
2014,22.8,17.8,2.7,19.8,-12.4,-1.9,-6.7,4.4,3.2,4.9,19.1,11.0,-6.6,19.6,4.3,1.8
2015,-2.2,31.9,-0.2,-28.7,-24.7,3.2,-19.6,-1.3,-6.2,-13.7,2.9,-12.7,-5.6,-23.6,-1.6,-10.0
2016,-19.4,-59.1,11.7,-3.0,2.9,1.0,-20.4,-2.4,-4.7,-10.5,-16.7,-1.7,-0.8,-2.1,-3.6,-7.3
2017,-1.7,23.6,6.6,8.6,-2.3,6.4,7.8,1.3,1.0,2.9,-0.7,3.4,4.1,3.2,0.7,1.7
2018,-3.6,33.2,-1.9,-8.3,-4.8,-1.7,14.2,0.1,0.7,-1.9,1.7,-2.3,-2.6,-6.3,-6.8,0.9
2019,-0.8,-34.0,-6.1,15.0,-5.5,13.0,-8.0,2.0,0.5,0.9,2.0,4.7,-4.3,4.6,1.5,-2.2
2020,-4.9,11.0,2.0,-1.5,10.2,2.0,7.5,1.3,1.8,-3.6,2.1,0.5,2.6,2.2,-0.4,1.4
2021,11.3,17.1,5.3,2.0,47.2,-6.5,44.5,6.3,12.2,25.3,25.8,1.9,40.2,15.9,20.4,19.3
2022,18.1,163.1,18.1,36.7,11.2,51.4,31.0,14.2,14.0,26.7,-5.2,18.3,26.1,-2.2,17.3,23.3
2023,22.0,-28.3,-0.6,-19.9,-8.3,-12.1,-23.1,2.0,-2.0,-10.3,13.5,-6.1,-16.3,-3.7,-18.0,-5.8
2024,10.9,43.1,-0.7,10.4,-22.4,-0.3,-22.3,3.3,-0.6,-3.0,5.8,3.2,-10.3,11.8,0.0,-6.8
